Title,Company,Links,Ratings,Address,Salary,Job description
Software Engineering - Graduate Programme,NatWest Group,https://uk.indeed.com/rc/clk?jk=8f62b7b76b6e98c5&fccid=4a3a2b1eb3ec0691&vjs=3,3.2,London,"£31,850 a year",Build the technical skills needed as you move through your placements across Technology to become a highly capable software engineer.
Software Engineer Apprentice,Lloyds Banking Group,https://uk.indeed.com/rc/clk?jk=52b45930987414a8&fccid=6423597f1cdb7b53&vjs=3,3.8,Bristol,"£27,540 - £32,130 a year","Build simple data models and software designs.
Learn how to write code and operate at all stages of the software development lifecycle."
Software Engineering - Internship,NatWest Group,https://uk.indeed.com/rc/clk?jk=64a0b8982e7fa0fb&fccid=4a3a2b1eb3ec0691&vjs=3,3.2,London,"£21,500 a year","Attend training workshops, get involved with our day to day work, and take part in a business improvement software engineering project."
Software Developer,Imperial College London,https://uk.indeed.com/rc/clk?jk=f9f27d3295269f88&fccid=89a1a7b0050ae6e6&vjs=3,4.2,South Kensington,"£39,309 - £48,226 a year","Experience with web software development.
Currently the department is transforming the way in which support is delivered with new processes to improve the…"
Java Software Engineer,Lloyds Banking Group,https://uk.indeed.com/rc/clk?jk=85a64c0bb79fa331&fccid=6423597f1cdb7b53&vjs=3,3.8,London,"£57,861 - £75,710 a year","As a Java Engineer within the Consumer Servicing Value Stream in Retail, you’ll work as part of an agile team to guide and implement technical solutions."
Java Software Engineer,Lloyds Banking Group,https://uk.indeed.com/rc/clk?jk=85a64c0bb79fa331&fccid=6423597f1cdb7b53&vjs=3,3.8,London,"£57,861 - £75,710 a year","As a Java Engineer within the Consumer Servicing Value Stream in Retail, you’ll work as part of an agile team to guide and implement technical solutions."
"Software Engineering Manager, Product",Monzo,https://uk.indeed.com/rc/clk?jk=717d77c6e2920e2b&fccid=73da13d58dc1080c&vjs=3,3.9,London Remote,"£90,000 - £140,000 a year","Lead a team of high performing software engineers.
Support, coach and develop engineers in their career through regular 1:1s and continuous feedback."
Senior Software Engineer,University of Oxford,https://uk.indeed.com/rc/clk?jk=d28a5b0b6eb35c80&fccid=3e8af96829591e84&vjs=3,4.2,Oxford OX3,"£54,943 a year","You will be responsible for designing and implementing the web application to support the scientific needs, and undertake software requirements elicitation,…"
Java Software Engineer,Department for Work and Pensions,https://uk.indeed.com/rc/clk?jk=1d86839fe1be0bee&fccid=bde86870b61ac61d&vjs=3,3.7,London,"£35,310 - £55,666 a year",Develop in Java and use Test Driven Development to deliver software products which make up digital services for our citizens to consume.
Software Engineer,Lindus Health,https://uk.indeed.com/rc/clk?jk=483129c9774d3637&fccid=08d2390106bb218e&vjs=3,,London Temporarily Remote,"£55,000 - £80,000 a year","Help grow the product & engineering team by interviewing candidates, onboarding new hires and possibly mentoring junior engineers."
Backend Engineer,Monzo,https://uk.indeed.com/rc/clk?jk=041dc842f283eec5&fccid=73da13d58dc1080c&vjs=3,3.9,London Temporarily Remote,"£90,000 - £116,000 a year","You're interested in distributed systems and writing resilient software.
Kafka for our asynchronous message queue.
React for internal web dashboards."
Software Engineer,Guardian News & Media,https://uk.indeed.com/company/Guardian-News-&-Media/jobs/Software-Engineer-5c92c59fe445715c?fccid=db4a5cd5f8e4ab03&vjs=3,,London N1,"£49,600 a year","As a full stack engineer, you’ll be equally willing to dive into a purely functional and composable Scala back-end, or a complex JavaScript front-end (using…"
Software Engineer,Tech Returners,https://uk.indeed.com/company/Tech-Returners/jobs/Software-Engineer-f0ab8429d0695d33?fccid=5db9b8b61558c34c&vjs=3,,Watford+17 locations Remote,"£49,000 - £65,000 a year","Have previous experience of being a software developer/engineer* (hands-on coding).
Tech Returners is partnering with *The Guardian* to recruit 16 software…"
Software Engineer C++,Reqiva Ltd,https://uk.indeed.com/rc/clk?jk=5f2fbbf0bccc2c7d&fccid=946fa3ef2e6daa21&vjs=3,,London,"£90,000 a year","Support existing software in line with requirements.
C++ Software Engineer will be responsible for the below,.
Creating integration with external systems."
Apprentice Software Developer,UK Hydrographic Office,https://uk.indeed.com/rc/clk?jk=10be4fa82462ced3&fccid=5f42403b756707e8&vjs=3,3.5,Taunton,"£20,421 a year","Building your knowledge of different systems and software implementation.
You will spend 20% of your week on learning related to your apprenticeship, the rest…"
JAVA DEVELOPER - REMOTE,ISL,https://uk.indeed.com/company/ISL/jobs/Java-Developer-274c1c720af2f96d?fccid=a7d61cba3cde5ba3&vjs=3,,London Remote,"Up to £110,000 a year","Paired programming to solve complex problems.
If you are a Junior-Mid level Java Developer and interested, you are also welcome to apply as long as you are…"
Apprentice Software Developer,ITVET,https://uk.indeed.com/company/ITVET/jobs/Apprentice-Software-Developer-f2667e1bec3bd4a1?fccid=e84efe7262886e4d&vjs=3,,Bishop's Stortford,"£23,000 - £27,000 a year","Keep fit and healthy with a fitness allowance.
Successful candidates are subject to a basic DBS check."
PHP Software Engineer,Noa,https://uk.indeed.com/rc/clk?jk=3f139a68b911233f&fccid=c9be8141a4ec5350&vjs=3,,Milton Keynes MK1 Remote,"£60,000 a year","Their UK office is based in Milton Keynes and the work from home expectation is flexible to suit you.
Confident working on complex SaaS products."
PHP Software Engineer,Noa,https://uk.indeed.com/rc/clk?jk=3f139a68b911233f&fccid=c9be8141a4ec5350&vjs=3,,Milton Keynes MK1 Remote,"£60,000 a year","Their UK office is based in Milton Keynes and the work from home expectation is flexible to suit you.
Confident working on complex SaaS products."
Java Software Engineer x4 roles (Financial Services),Lloyds Banking Group,https://uk.indeed.com/rc/clk?jk=c60a7b7358ec7985&fccid=6423597f1cdb7b53&vjs=3,3.8,London,"£68,139 - £75,710 a year","As a Java Engineer, within a feature team you'll work closely with both feature team members and the wider engineering community including solution architects,…"
Graduate Software Engineer (Immediate Start),Siemens,https://uk.indeed.com/rc/clk?jk=42cfde4c01e2359d&fccid=ea6bb53f0b18b8f2&vjs=3,4,Poole BH17 7ER,"£28,000 a year",Working with concept boards and documentation sharing knowledge about best practices for software architecture governance.
Java Software Engineer,Synapri,https://uk.indeed.com/rc/clk?jk=0acf0b7c6016cb31&fccid=447163ca34a4b3d8&vjs=3,,Remote,"£70,000 - £90,000 a year","This organisation has taken a remote-first approach and whilst they have an office in London, they are happy for their staff to work 100% remotely."
Graduate Software Engineer,G-Forces Web Management,https://uk.indeed.com/rc/clk?jk=53b6bb3149bce3e3&fccid=12aea2330238d182&vjs=3,,Maidstone,"£22,500 a year","In this exciting and varied role, you will help design, develop, and improve the company's industry leading software as well as review existing code, provide…"
Graduate Software & Data Engineering Programme,Sigma Labs XYZ,https://uk.indeed.com/company/Sigma-Labs-XYZ/jobs/Graduate-Software-Data-Engineering-Programme-9615a9d730b3c4fc?fccid=5512d3a02f85c3e1&vjs=3,,London EC2A 4EG Remote,"£40,000 a year",Starting your career in software or data opens up every industry and a huge number of high performance career options - don’t discount the benefit of a rising…
Human Resources Operations Manager - Software Scale Up,BlueOptima,https://uk.indeed.com/company/BlueOptima/jobs/Human-Resource-Operation-Manager-14094ea5101f2926?fccid=0a416f2dc62f7a9e&vjs=3,,London SE1,"£45,000 - £50,000 a year",BlueOptima’*s vision is to become the global reference for the optimisation of the performance of Software Engineers across all industries.
